date,future_code,close,open,high,low,deal,categoryID
10/5/2023,CU2312,1338.5,1338.5,1338.5,1338.5,1,23/10/2023
9/5/2023,CU2312,1385.5,1390,1390,1385.5,2,23/10/2023
8/5/2023,CU2312,1378,1331.5,1378,1315.5,9,23/10/2023
5/5/2023,CU2312,1337,1337,1337,1337,1,23/10/2023
4/5/2023,CU2312,1352,1354.5,1354.5,1329.5,3,23/10/2023
28/4/2023,CU2312,1390,1388,1390,1320.5,6,23/10/2023
27/4/2023,CU2312,1471,1491,1491,1439,17,23/10/2023
26/4/2023,CU2312,1511.5,1502.5,1515,1496,6,23/10/2023
25/4/2023,CU2312,1526.5,1559,1559,1526.5,8,23/10/2023
21/4/2023,CU2312,1535,1544.5,1544.5,1535,2,23/10/2023
20/4/2023,CU2312,1576.5,1604,1604,1573.5,4,23/10/2023
19/4/2023,CU2312,1621,1625,1635,1618,24,23/10/2023
18/4/2023,CU2312,1624,1624,1624,1624,1,23/10/2023
17/4/2023,CU2312,1612,1610,1621,1585,10,23/10/2023
14/4/2023,CU2312,1600,1625,1625,1600,4,23/10/2023
13/4/2023,CU2312,1602,1602,1602,1602,3,23/10/2023
12/4/2023,CU2312,1623,1628.5,1631.5,1613.5,73,23/10/2023
11/4/2023,CU2312,1618,1618,1618,1618,1,23/10/2023
10/4/2023,CU2312,1625.5,1673.5,1673.5,1615,3,23/10/2023
7/4/2023,CU2312,1690.5,1672,1690.5,1672,2,23/10/2023
4/4/2023,CU2312,1725.5,1725.5,1725.5,1725.5,1,23/10/2023
3/4/2023,CU2312,1730,1732,1732,1730,5,23/10/2023
31/3/2023,CU2312,1756.5,1758,1775,1756.5,5,23/10/2023
27/3/2023,CU2312,1769.5,1763,1769.5,1763,2,23/10/2023
23/3/2023,CU2312,1764.5,1752.5,1767,1752.5,4,23/10/2023
16/3/2023,CU2312,1766,1790,1790,1765.5,25,23/10/2023
15/3/2023,CU2312,1793.5,1820,1820,1793.5,4,23/10/2023
14/3/2023,CU2312,1832.5,1871,1871,1832.5,2,23/10/2023
13/3/2023,CU2312,1878,1862.5,1878,1862.5,3,23/10/2023
10/3/2023,CU2312,1860,1917,1917,1856,24,23/10/2023
9/3/2023,CU2312,1892,1884,1892,1874,9,23/10/2023
6/3/2023,CU2312,1891,1891,1891,1891,1,23/10/2023
3/3/2023,CU2312,1902,1855,1902,1841,3,23/10/2023
28/2/2023,CU2312,1887.5,1887.5,1887.5,1887.5,1,23/10/2023
27/2/2023,CU2312,1905,1905,1905,1905,5,23/10/2023
24/2/2023,CU2312,1878.5,1878.5,1878.5,1878.5,1,23/10/2023
23/2/2023,CU2312,1885.5,1904.5,1908,1869,9,23/10/2023
22/2/2023,CU2312,1865,1835.5,1865,1835.5,9,23/10/2023
21/2/2023,CU2312,1847.5,1836.5,1847.5,1835,3,23/10/2023
20/2/2023,CU2312,1816,1794.5,1816,1779.5,15,23/10/2023
17/2/2023,CU2312,1802,1799.5,1814,1799.5,14,23/10/2023
16/2/2023,CU2312,1799,1789.5,1799,1783,5,23/10/2023
15/2/2023,CU2312,1772.5,1777,1791.5,1772,11,23/10/2023
14/2/2023,CU2312,1772,1733.5,1772,1733.5,10,23/10/2023
13/2/2023,CU2312,1735.5,1770.5,1770.5,1735.5,19,23/10/2023
9/2/2023,CU2312,1797,1801.5,1802,1797,13,23/10/2023
8/2/2023,CU2312,1790.5,1790.5,1790.5,1790.5,1,23/10/2023
7/2/2023,CU2312,1763,1777.5,1778,1760,7,23/10/2023
6/2/2023,CU2312,1776,1761,1776,1757,7,23/10/2023
3/2/2023,CU2312,1770.5,1742.5,1770.5,1742.5,2,23/10/2023
2/2/2023,CU2312,1764.5,1764.5,1764.5,1764.5,1,23/10/2023
1/2/2023,CU2312,1760.5,1770,1770,1760.5,6,23/10/2023
